Sex,Single Year of Age,Administrative Counties,VALUE
Male,0,Ireland,29610
Male,0,Carlow County Council,346
Male,0,Dublin City Council,3188
Male,0,Dún Laoghaire Rathdown County Council,1269
Male,0,Fingal County Council,2059
Male,0,South Dublin County Council,1855
Male,0,Kildare County Council,1550
Male,0,Kilkenny County Council,570
Male,0,Laois County Council,555
Male,0,Longford County Council,257
Male,0,Louth County Council,852
Male,0,Meath County Council,1406
Male,0,Offaly County Council,481
Male,0,Westmeath County Council,594
Male,0,Wexford County Council,910
Male,0,Wicklow County Council,910
Male,0,Clare County Council,686
Male,0,Cork City Council,1159
Male,0,Cork County Council,2135
Male,0,Kerry County Council,822
Male,0,Limerick City & County Council,1116
Male,0,Tipperary County Council,1017
Male,0,Waterford City & County Council,678
Male,0,Galway City Council,405
Male,0,Galway County Council,1176
Male,0,Leitrim County Council,200
Male,0,Mayo  County Council,790
Male,0,Roscommon County Council,382
Male,0,Sligo County Council,376
Male,0,Cavan County Council,505
Male,0,Donegal County Council,916
Male,0,Monaghan County Council,445
Male,1,Ireland,28875
Male,1,Carlow County Council,347
Male,1,Dublin City Council,2937
Male,1,Dún Laoghaire Rathdown County Council,1245
Male,1,Fingal County Council,1987
Male,1,South Dublin County Council,1922
Male,1,Kildare County Council,1535
Male,1,Kilkenny County Council,576
Male,1,Laois County Council,517
Male,1,Longford County Council,244
Male,1,Louth County Council,809
Male,1,Meath County Council,1403
Male,1,Offaly County Council,491
Male,1,Westmeath County Council,556
Male,1,Wexford County Council,846
Male,1,Wicklow County Council,862
Male,1,Clare County Council,656
Male,1,Cork City Council,1148
Male,1,Cork County Council,2070
Male,1,Kerry County Council,811
Male,1,Limerick City & County Council,1148
Male,1,Tipperary County Council,936
Male,1,Waterford City & County Council,664
Male,1,Galway City Council,362
Male,1,Galway County Council,1135
Male,1,Leitrim County Council,204
Male,1,Mayo  County Council,776
Male,1,Roscommon County Council,380
Male,1,Sligo County Council,383
Male,1,Cavan County Council,527
Male,1,Donegal County Council,963
Male,1,Monaghan County Council,435
Male,2,Ireland,30236
Male,2,Carlow County Council,355
Male,2,Dublin City Council,3035
Male,2,Dún Laoghaire Rathdown County Council,1251
Male,2,Fingal County Council,2196
Male,2,South Dublin County Council,1867
Male,2,Kildare County Council,1543
Male,2,Kilkenny County Council,620
Male,2,Laois County Council,605
Male,2,Longford County Council,301
Male,2,Louth County Council,901
Male,2,Meath County Council,1463
Male,2,Offaly County Council,489
Male,2,Westmeath County Council,576
Male,2,Wexford County Council,914
Male,2,Wicklow County Council,906
Male,2,Clare County Council,729
Male,2,Cork City Council,1144
Male,2,Cork County Council,2184
Male,2,Kerry County Council,848
Male,2,Limerick City & County Council,1243
Male,2,Tipperary County Council,957
Male,2,Waterford City & County Council,664
Male,2,Galway City Council,406
Male,2,Galway County Council,1188
Male,2,Leitrim County Council,224
Male,2,Mayo  County Council,795
Male,2,Roscommon County Council,465
Male,2,Sligo County Council,404
Male,2,Cavan County Council,541
Male,2,Donegal County Council,988
Male,2,Monaghan County Council,434
Male,3,Ireland,31001
Male,3,Carlow County Council,376
Male,3,Dublin City Council,2875
Male,3,Dún Laoghaire Rathdown County Council,1304
Male,3,Fingal County Council,2223
Male,3,South Dublin County Council,1997
Male,3,Kildare County Council,1611
Male,3,Kilkenny County Council,606
Male,3,Laois County Council,648
Male,3,Longford County Council,283
Male,3,Louth County Council,816
Male,3,Meath County Council,1539
Male,3,Offaly County Council,531
Male,3,Westmeath County Council,590
Male,3,Wexford County Council,961
Male,3,Wicklow County Council,976
Male,3,Clare County Council,723
Male,3,Cork City Council,1188
Male,3,Cork County Council,2260
Male,3,Kerry County Council,867
Male,3,Limerick City & County Council,1193
Male,3,Tipperary County Council,1029
Male,3,Waterford City & County Council,755
Male,3,Galway City Council,410
Male,3,Galway County Council,1247
Male,3,Leitrim County Council,240
Male,3,Mayo  County Council,814
Male,3,Roscommon County Council,441
Male,3,Sligo County Council,420
Male,3,Cavan County Council,560
Male,3,Donegal County Council,1030
Male,3,Monaghan County Council,488
Male,4,Ireland,31686
Male,4,Carlow County Council,376
Male,4,Dublin City Council,2869
Male,4,Dún Laoghaire Rathdown County Council,1380
Male,4,Fingal County Council,2275
Male,4,South Dublin County Council,2002
Male,4,Kildare County Council,1704
Male,4,Kilkenny County Council,616
Male,4,Laois County Council,643
Male,4,Longford County Council,276
Male,4,Louth County Council,918
Male,4,Meath County Council,1578
Male,4,Offaly County Council,519
Male,4,Westmeath County Council,599
Male,4,Wexford County Council,1020
Male,4,Wicklow County Council,1010
Male,4,Clare County Council,739
Male,4,Cork City Council,1142
Male,4,Cork County Council,2358
Male,4,Kerry County Council,876
Male,4,Limerick City & County Council,1240
Male,4,Tipperary County Council,1074
Male,4,Waterford City & County Council,756
Male,4,Galway City Council,412
Male,4,Galway County Council,1354
Male,4,Leitrim County Council,223
Male,4,Mayo  County Council,842
Male,4,Roscommon County Council,427
Male,4,Sligo County Council,412
Male,4,Cavan County Council,555
Male,4,Donegal County Council,1042
Male,4,Monaghan County Council,449
Male,5,Ireland,32684
Male,5,Carlow County Council,384
Male,5,Dublin City Council,2793
Male,5,Dún Laoghaire Rathdown County Council,1442
Male,5,Fingal County Council,2387
Male,5,South Dublin County Council,2107
Male,5,Kildare County Council,1692
Male,5,Kilkenny County Council,693
Male,5,Laois County Council,641
Male,5,Longford County Council,347
Male,5,Louth County Council,897
Male,5,Meath County Council,1601
Male,5,Offaly County Council,569
Male,5,Westmeath County Council,659
Male,5,Wexford County Council,1022
Male,5,Wicklow County Council,1063
Male,5,Clare County Council,821
Male,5,Cork City Council,1176
Male,5,Cork County Council,2406
Male,5,Kerry County Council,938
Male,5,Limerick City & County Council,1294
Male,5,Tipperary County Council,1083
Male,5,Waterford City & County Council,787
Male,5,Galway City Council,437
Male,5,Galway County Council,1326
Male,5,Leitrim County Council,229
Male,5,Mayo  County Council,880
Male,5,Roscommon County Council,471
Male,5,Sligo County Council,427
Male,5,Cavan County Council,599
Male,5,Donegal County Council,1079
Male,5,Monaghan County Council,434
Male,6,Ireland,34092
Male,6,Carlow County Council,383
Male,6,Dublin City Council,2934
Male,6,Dún Laoghaire Rathdown County Council,1485
Male,6,Fingal County Council,2502
Male,6,South Dublin County Council,2141
Male,6,Kildare County Council,1784
Male,6,Kilkenny County Council,763
Male,6,Laois County Council,698
Male,6,Longford County Council,337
Male,6,Louth County Council,987
Male,6,Meath County Council,1588
Male,6,Offaly County Council,557
Male,6,Westmeath County Council,684
Male,6,Wexford County Council,1107
Male,6,Wicklow County Council,1090
Male,6,Clare County Council,867
Male,6,Cork City Council,1268
Male,6,Cork County Council,2638
Male,6,Kerry County Council,945
Male,6,Limerick City & County Council,1304
Male,6,Tipperary County Council,1123
Male,6,Waterford City & County Council,847
Male,6,Galway City Council,449
Male,6,Galway County Council,1359
Male,6,Leitrim County Council,232
Male,6,Mayo  County Council,917
Male,6,Roscommon County Council,450
