,STATISTIC,Statistic Label,TLIST(A1),CensusYear,C02199V02655,Sex,C02076V03371,Single Year of Age,C03789V04537,Administrative Counties,UNIT,VALUE
3264,FY006AC01,Population,2022,2022,1,Male,-,All ages,IE0,Ireland,Number,2544549
3265,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1492-13a3-e055-000000000001,Carlow County Council,Number,30822
3266,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1433-13a3-e055-000000000001,Dublin City Council,Number,291796
3267,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-149f-13a3-e055-000000000001,Dún Laoghaire Rathdown County Council,Number,112032
3268,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-14a0-13a3-e055-000000000001,Fingal County Council,Number,162532
3269,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-14a1-13a3-e055-000000000001,South Dublin County Council,Number,147246
3270,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-14a7-13a3-e055-000000000001,Kildare County Council,Number,123264
3271,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-14a8-13a3-e055-000000000001,Kilkenny County Council,Number,51883
3272,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-148d-13a3-e055-000000000001,Laois County Council,Number,46278
3273,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1490-13a3-e055-000000000001,Longford County Council,Number,23449
3274,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1491-13a3-e055-000000000001,Louth County Council,Number,68907
3275,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1494-13a3-e055-000000000001,Meath County Council,Number,109988
3276,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1496-13a3-e055-000000000001,Offaly County Council,Number,41628
3277,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-149b-13a3-e055-000000000001,Westmeath County Council,Number,47721
3278,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-149c-13a3-e055-000000000001,Wexford County Council,Number,80777
3279,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-149e-13a3-e055-000000000001,Wicklow County Council,Number,76564
3280,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-14a2-13a3-e055-000000000001,Clare County Council,Number,62917
3281,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1434-13a3-e055-000000000001,Cork City Council,Number,109736
3282,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-14a3-13a3-e055-000000000001,Cork County Council,Number,179109
3283,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-14a6-13a3-e055-000000000001,Kerry County Council,Number,77387
3284,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-148f-13a3-e055-000000000001,Limerick City & County Council,Number,104452
3285,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1499-13a3-e055-000000000001,Tipperary County Council,Number,83639
3286,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-149a-13a3-e055-000000000001,Waterford City & County Council,Number,63095
3287,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1435-13a3-e055-000000000001,Galway City Council,Number,40414
3288,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-14a5-13a3-e055-000000000001,Galway County Council,Number,96520
3289,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-148e-13a3-e055-000000000001,Leitrim County Council,Number,17553
3290,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1493-13a3-e055-000000000001,Mayo  County Council,Number,68392
3291,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1497-13a3-e055-000000000001,Roscommon County Council,Number,35170
3292,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1498-13a3-e055-000000000001,Sligo County Council,Number,34529
3293,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-149d-13a3-e055-000000000001,Cavan County Council,Number,41060
3294,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-14a4-13a3-e055-000000000001,Donegal County Council,Number,82795
3295,FY006AC01,Population,2022,2022,1,Male,-,All ages,2ae19629-1495-13a3-e055-000000000001,Monaghan County Council,Number,32894
3296,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,IE0,Ireland,Number,29610
3297,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-1492-13a3-e055-000000000001,Carlow County Council,Number,346
3298,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-1433-13a3-e055-000000000001,Dublin City Council,Number,3188
3299,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-149f-13a3-e055-000000000001,Dún Laoghaire Rathdown County Council,Number,1269
3300,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-14a0-13a3-e055-000000000001,Fingal County Council,Number,2059
3301,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-14a1-13a3-e055-000000000001,South Dublin County Council,Number,1855
3302,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-14a7-13a3-e055-000000000001,Kildare County Council,Number,1550
3303,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-14a8-13a3-e055-000000000001,Kilkenny County Council,Number,570
3304,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-148d-13a3-e055-000000000001,Laois County Council,Number,555
3305,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-1490-13a3-e055-000000000001,Longford County Council,Number,257
3306,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-1491-13a3-e055-000000000001,Louth County Council,Number,852
3307,FY006AC01,Population,2022,2022,1,Male,200,Under 1 year,2ae19629-1494-13a3-e055-000000000001,Meath County Council,Number,1406
